sentiment,text,lexical_diversity,readability_score,avg_sentence_length,sentiment_score,sentiment_subjectivity,negation_count,tfidf_top_keyword_sum,action_word_count,feature_mentions,adjective_ratio,lda_topic_similarity,noun_verb_ratio,cosine_similarity_to_template,syntactic_complexity,vader_sentiment,person_count,organization_count,location_count,bigram_top_keyword_sum,lstm_features,bert_embedding_mean,cosine_similarity_template,rnn_complexity_score
positive,"One of the other reviewers has mentioned that after watching just 1 Oz episode you'll be hooked. They are right, as this is exactly what happened with me.<br /><br />The first thing that struck me about Oz was its brutality and unflinching scenes of violence, which set in right from the word GO. Trust me, this is not a show for the faint hearted or timid. This show pulls no punches with regards to drugs, sex or violence. Its is hardcore, in the classic use of the word.<br /><br />It is called OZ as that is the nickname given to the Oswald Maximum Security State Penitentary. It focuses mainly on Emerald City, an experimental section of the prison where all the cells have glass fronts and face inwards, so privacy is not high on the agenda. Em City is home to many..Aryans, Muslims, gangstas, Latinos, Christians, Italians, Irish and more....so scuffles, death stares, dodgy dealings and shady agreements are never far away.<br /><br />I would say the main appeal of the show is due to the fact that it goes where other shows wouldn't dare. Forget pretty pictures painted for mainstream audiences, forget charm, forget romance...OZ doesn't mess around. The first episode I ever saw struck me as so nasty it was surreal, I couldn't say I was ready for it, but as I watched more, I developed a taste for Oz, and got accustomed to the high levels of graphic violence. Not just violence, but injustice (crooked guards who'll be sold out for a nickel, inmates who'll kill on order and get away with it, well mannered, middle class inmates being turned into prison bitches due to their lack of street skills or prison experience) Watching Oz, you may become comfortable with what is uncomfortable viewing....thats if you can get in touch with your darker side.",0.6775244299674267,-225.27989739413675,30.7,0.023433179723502305,0.4903686635944701,5,2.070265038758409,62,0,0.11400651465798045,0.5209188685843539,1.3968253968253967,0.3366485567639391,10.0,-0.9916,1,2,1,8,-0.3410341,-0.013403897378045315,0.6417306457704242,0.57102245
positive,"A wonderful little production. <br /><br />The filming technique is very unassuming- very old-time-BBC fashion and gives a comforting, and sometimes discomforting, sense of realism to the entire piece. <br /><br />The actors are extremely well chosen- Michael Sheen not only ""has got all the polari"" but he has all the voices down pat too! You can truly see the seamless editing guided by the references to Williams' diary entries, not only is it well worth the watching but it is a terrificly written and performed piece. A masterful production about one of the great master's of comedy and his life. <br /><br />The realism really comes home with the little things: the fantasy of the guard which, rather than use the traditional 'dream' techniques remains solid then disappears. It plays on our knowledge and our senses, particularly with the scenes concerning Orton and Halliwell and the sets (particularly of their flat with Halliwell's murals decorating every surface) are terribly well done.",0.7037037037037037,-253.75500000000002,23.142857142857142,0.1097222222222222,0.5593434343434344,2,1.9274982212043907,26,0,0.09876543209876543,0.5357508580065398,1.6296296296296295,0.2539192884135049,3.0,0.967,2,4,0,6,-0.3403676,-0.013471996495403241,0.6396127219680516,0.21086738
positive,"I thought this was a wonderful way to spend time on a too hot summer weekend, sitting in the air conditioned theater and watching a light-hearted comedy. The plot is simplistic, but the dialogue is witty and the characters are likable (even the well bread suspected serial killer). While some may be disappointed when they realize this is not Match Point 2: Risk Addiction, I thought it was proof that Woody Allen is still fully in control of the style many of us have grown to love.<br /><br />This was the most I'd laughed at one of Woody's comedies in years (dare I say a decade?). While I've never been impressed with Scarlet Johanson, in this she managed to tone down her ""sexy"" image and jumped right into a average, but spirited young woman.<br /><br />This may not be the crown jewel of his career, but it was wittier than ""Devil Wears Prada"" and more interesting than ""Superman"" a great comedy to go see with friends.",0.7289156626506024,-223.12243975903615,41.5,0.35400793650793644,0.6587301587301588,3,2.1493376579223935,34,0,0.0963855421686747,0.6360155103661066,1.2,0.33755947844352513,4.0,0.9519,3,0,0,5,-0.39899072,-0.013996406386614502,0.6344058557262748,0.14003919
negative,"Basically there's a family where a little boy (Jake) thinks there's a zombie in his closet & his parents are fighting all the time.<br /><br />This movie is slower than a soap opera... and suddenly, Jake decides to become Rambo and kill the zombie.<br /><br />OK, first of all when you're going to make a film you must Decide if its a thriller or a drama! As a drama the movie is watchable. Parents are divorcing & arguing like in real life. And then we have Jake with his closet which totally ruins all the film! I expected to see a BOOGEYMAN similar movie, and instead i watched a drama with some meaningless thriller spots.<br /><br />3 out of 10 just for the well playing parents & descent dialogs. As for the shots with Jake: just ignore them.",0.6956521739130435,-191.07956521739123,23.0,-0.0578125,0.45416666666666666,0,2.0023488911705374,25,2,0.050724637681159424,0.7072741456016393,1.5384615384615385,0.17113018681611963,0.75,-0.9213,2,1,0,4,-0.29864132,-0.01356857021436079,0.6065423882779926,0.26879552
positive,"Petter Mattei's ""Love in the Time of Money"" is a visually stunning film to watch. Mr. Mattei offers us a vivid portrait about human relations. This is a movie that seems to be telling us what money, power and success do to people in the different situations we encounter. <br /><br />This being a variation on the Arthur Schnitzler's play about the same theme, the director transfers the action to the present time New York where all these different characters meet and connect. Each one is connected in one way, or another to the next person, but no one seems to know the previous point of contact. Stylishly, the film has a sophisticated luxurious look. We are taken to see how these people live and the world they live in their own habitat.<br /><br />The only thing one gets out of all these souls in the picture is the different stages of loneliness each one inhabits. A big city is not exactly the best place in which human relations find sincere fulfillment, as one discerns is the case with most of the people we encounter.<br /><br />The acting is good under Mr. Mattei's direction. Steve Buscemi, Rosario Dawson, Carol Kane, Michael Imperioli, Adrian Grenier, and the rest of the talented cast, make these characters come alive.<br /><br />We wish Mr. Mattei good luck and await anxiously for his next work.",0.6608695652173913,-219.2986714975845,25.555555555555557,0.2179522497704316,0.45291551882460973,2,1.9709997487851267,33,1,0.11739130434782609,0.6329375694529515,2.2941176470588234,0.24234834842839031,2.3333333333333335,0.9744,8,1,2,11,-0.09167826,-0.013901454276602066,0.6496428546237272,0.3777641
positive,"Probably my all-time favorite movie, a story of selflessness, sacrifice and dedication to a noble cause, but it's not preachy or boring. It just never gets old, despite my having seen it some 15 or more times in the last 25 years. Paul Lukas' performance brings tears to my eyes, and Bette Davis, in one of her very few truly sympathetic roles, is a delight. The kids are, as grandma says, more like ""dressed-up midgets"" than children, but that only makes them more fun to watch. And the mother's slow awakening to what's happening in the world and under her own roof is believable and startling. If I had a dozen thumbs, they'd all be ""up"" for this movie.",0.8151260504201681,-195.77314425770302,19.833333333333332,0.15529411764705883,0.5703921568627451,2,1.9216983391499558,17,0,0.12605042016806722,0.7073377226569377,1.5555555555555556,0.2585557075865392,6.0,0.9828,2,0,0,4,-0.35564867,-0.013873524757189915,0.6412534857996683,0.26902765
positive,"I sure would like to see a resurrection of a up dated Seahunt series with the tech they have today it would bring back the kid excitement in me.I grew up on black and white TV and Seahunt with Gunsmoke were my hero's every week.You have my vote for a comeback of a new sea hunt.We need a change of pace in TV and this would work for a world of under water adventure.Oh by the way thank you for an outlet like this to view many viewpoints about TV and the many movies.So any ole way I believe I've got what I wanna say.Would be nice to read some more plus points about sea hunt.If my rhymes would be 10 lines would you let me submit,or leave me out to be in doubt and have me to quit,If this is so then I must go so lets do it.",0.6533333333333333,-270.84299999999996,150.0,0.2855218855218855,0.4751964085297419,0,1.9847648889665563,27,0,0.06666666666666667,0.6092929936475864,1.25,0.4438943821578701,1.0,0.9022,0,1,0,1,-0.29618806,-0.012488382005644278,0.617833272986013,0.32513264
negative,"This show was an amazing, fresh & innovative idea in the 70's when it first aired. The first 7 or 8 years were brilliant, but things dropped off after that. By 1990, the show was not really funny anymore, and it's continued its decline further to the complete waste of time it is today.<br /><br />It's truly disgraceful how far this show has fallen. The writing is painfully bad, the performances are almost as bad - if not for the mildly entertaining respite of the guest-hosts, this show probably wouldn't still be on the air. I find it so hard to believe that the same creator that hand-selected the original cast also chose the band of hacks that followed. How can one recognize such brilliance and then see fit to replace it with such mediocrity? I felt I must give 2 stars out of respect for the original cast that made this show such a huge success. As it is now, the show is just awful. I can't believe it's still on the air.",0.7011494252873564,-182.7917816091954,19.333333333333332,0.08271604938271605,0.5876543209876542,2,1.680826764774699,28,0,0.1206896551724138,0.5517342608336679,1.1379310344827587,0.2553968597130403,2.3333333333333335,0.873,0,0,0,3,-0.46492064,-0.013562725946537102,0.6121091701884063,0.31788087
negative,"Encouraged by the positive comments about this film on here I was looking forward to watching this film. Bad mistake. I've seen 950+ films and this is truly one of the worst of them - it's awful in almost every way: editing, pacing, storyline, 'acting,' soundtrack (the film's only song - a lame country tune - is played no less than four times). The film looks cheap and nasty and is boring in the extreme. Rarely have I been so happy to see the end credits of a film. <br /><br />The only thing that prevents me giving this a 1-score is Harvey Keitel - while this is far from his best performance he at least seems to be making a bit of an effort. One for Keitel obsessives only.",0.7692307692307693,-171.23961538461532,18.571428571428573,-0.1428628389154705,0.75414673046252,1,2.096136327091162,23,0,0.09230769230769231,0.4648530764893089,1.2916666666666667,0.42722450200341255,1.6666666666666667,0.2362,1,1,0,3,-0.38909176,-0.013119041220471944,0.6227139236123073,0.7344353
positive,"If you like original gut wrenching laughter you will like this movie. If you are young or old then you will love this movie, hell even my mom liked it.<br /><br />Great Camp!!!",0.7878787878787878,-173.4936363636363,11.333333333333334,0.41500000000000004,0.55,0,1.0,6,0,0.12121212121212122,0.6666118914934918,1.2857142857142858,0.0,1.0,0.9507,0,0,0,3,-0.11277066,-0.014653580876553432,0.6039336175989196,-5.1641566e-16
